Country Name,Country Code,Series Name,Series Code,1990 [YR1990],2000 [YR2000],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Germany,DEU,"Population, total",SP.POP.TOTL,79433029,82211508,82376451,82266372,82110097,81902307,81776930,81797673,80425823,80645605,80889505,..
Germany,DEU,Population growth (annual %),SP.POP.GROW,0.861969448764933,0.135431600393084,-0.112797497644931,-0.133718572600486,-0.190142844695674,-0.253383410163402,-0.153198446937304,0.0253621280208064,-1.69134895621081,0.272900214681538,0.301977923369119,..
Germany,DEU,Surface area (sq. km),AG.SRF.TOTL.K2,356970,357030,357100,357100,357110,357120,357127,357140,357170,357170,357170,..
Germany,DEU,Population density (people per sq. km of land area),EN.POP.DNST,227.517053819494,235.596813297034,236.225197866483,235.943361918146,235.522178240542,234.939637417171,234.606908225034,234.673149529493,230.750625466231,231.381204452861,232.080980662191,..
Germany,DEU,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..,..,..,..,..,..,..,..,..,..,..,..
Germany,DEU,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,..,..,..,..,..,..,..,..,..,..,..,..
Germany,DEU,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,1693987554466.68,2151412845523.15,3161452207045.75,3350667823968.8,3605684026384.86,3588219171715.92,3661914594828.23,3796212919945.47,3755769315846.54,3810520825687.64,3853486543048.34,..
Germany,DEU,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,21330,26170,38380,40730,43910,43810,44780,46410,46700,47250,47640,..
Germany,DEU,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,1537607857059.81,2171882065051.5,2909472808866.33,3072398979987.43,3190239400924.78,3109181083172.05,3302563053064.01,3530599700570.55,3592368752004.81,3630504755029.98,3789008295598.43,..
Germany,DEU,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,19360,26420,35320,37350,38850,37960,40390,43160,44670,45020,46840,..
Germany,DEU,Income share held by lowest 20%,SI.DST.FRST.20,..,..,7.39,7.75,8.11,8.1,8.01,8.37,..,..,..,..
Germany,DEU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.1773658536586,77.9268292682927,79.1317073170732,79.5341463414634,79.7365853658537,79.8365853658537,79.9878048780488,80.7414634146342,80.8926829268293,81.0439024390244,..,..
Germany,DEU,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.45,1.38,1.33,1.37,1.38,1.36,1.39,1.36,1.38,1.38,..,..
Germany,DEU,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,16.3268,12.6676,10.2908,9.771,9.422,9.073,8.724,8.375,8.026,7.4932,6.9604,..
Germany,DEU,Contraceptive prevalence (% of women ages 15-49),SP.DYN.CONU.ZS,..,..,..,..,..,..,..,..,..,..,..,..
Germany,DEU,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,..,..,100,..,..,..,..,..,..,..,..,..
Germany,DEU,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,8.5,5.4,4.6,4.5,4.4,4.3,4.2,4.1,4,3.9,3.8,3.7
Germany,DEU,"Prevalence of underweight, weight for age (% of children under 5)",SH.STA.MALN.ZS,..,..,..,..,..,..,..,..,..,..,..,..
Germany,DEU,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,75,92,96,97,97,97,97,97,97,97,97,..
Germany,DEU,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,..,102.487831115723,97.1065673828125,102.444190979004,101.272819519043,101.758857727051,101.103271484375,100.374252319336,98.0137405395508,98.3154525756836,..,..
Germany,DEU,"School enrollment, primary (% gross)",SE.PRM.ENRR,..,103.004081726074,103.166107177734,103.926422119141,103.159698486328,102.282508850098,101.519119262695,100.760879516602,100.460411071777,100.3037109375,..,..
Germany,DEU,"School enrollment, secondary (% gross)",SE.SEC.ENRR,..,96.3351593017578,100.171356201172,99.4406280517578,100.525268554688,100.50959777832,101.563522338867,101.721298217773,101.266403198242,101.085296630859,..,..
Germany,DEU,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,..,0.987299978733063,0.98360002040863,0.98487001657486,0.982339978218079,0.964250028133392,0.964969992637634,0.963590025901794,0.961189985275269,0.960969984531403,..,..
Germany,DEU,"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,..,..,..,..,..,..,..,..,..,..,..,..
Germany,DEU,Forest area (sq. km),AG.LND.FRST.K2,107410,110760,110760,110760,110760,110760,110760,110760,110760,..,..,..
Germany,DEU,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,36.46069455088,42.1465638797794,41.8491798594456,42.2419466594623,42.2907247605693,42.2907247577168,49.0366522662994,..,49.0366522662994,..,..,..
Germany,DEU,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,..,..,..,30.1869158878505,..,..,..,..,..,30.1869158878505,..,..
Germany,DEU,Improved water source (% of population with access),SH.H2O.SAFE.ZS,100,100,100,100,100,100,100,100,100,100,100,100
Germany,DEU,Improved sanitation facilities (% of population with access),SH.STA.ACSN,99.2,99.2,99.2,99.2,99.2,99.2,99.2,99.2,99.2,99.2,99.2,99.2
Germany,DEU,Urban population growth (annual %),SP.URB.GROW,1.05636514177316,0.139537496255531,0.0765120220134956,0.139399919338657,0.0808778444682869,0.0142057707111806,0.113677273516088,0.290185263337938,-1.42320917049157,0.542993733368687,0.574006609398817,..
Germany,DEU,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,4420.00704769801,4091.89377720696,4202.74963047388,3983.87918455915,4035.09591518324,3788.72283780724,4004.35311034542,3801.10410964869,3885.87967573549,3873.63430406406,..,..
Germany,DEU,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,..,10.0956398829225,9.78247110937081,9.48902053198602,9.52565876277067,8.80395483853709,9.17981683831858,8.91783284592949,..,..,..,..
Germany,DEU,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,6639.73169146049,6635.42140596667,7212.43744768757,7229.08991294766,7187.76400909623,6817.15839823657,7264.32259073555,7145.72895001548,7270.15252302734,..,..,..
Germany,DEU,GDP (current US$),NY.GDP.MKTP.CD,1764967921559.13,1947208402432.28,2998619997490.9,3435683000273.75,3746916654460.23,3412975826618.51,3412211920529.8,3751876563803.17,3533242461467.05,3730260571356.51,3852556169656.01,..
Germany,DEU,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.25501021731347,2.98490820840533,3.71000339452176,3.26978335333274,1.05210893955538,-5.63795389304047,4.09076951228067,3.58999724236229,0.376483651233798,0.10579204143049,1.60438100640941,..
Germany,DEU,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,3.39664058820142,-0.464036611008595,0.299227567541877,1.69163872644651,0.847654108642786,1.77562299961811,0.745503969087721,1.13889542190144,1.49997802781789,2.05865430703358,1.72479565397374,..
Germany,DEU,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,..,1.07950050675357,0.800593553066382,0.84434767090324,0.912497028387106,0.757763811672685,0.741112177473366,0.805624229863416,0.873654308822892,0.857495133852706,0.751499341518998,..
Germany,DEU,"Industry, value added (% of GDP)",NV.IND.TOTL.ZS,..,30.7633513302543,29.9838660139063,30.3978003651592,29.9226967772722,27.6730370318603,29.9950632797774,30.4553103173447,30.683034038958,30.7116849302268,30.6933332005776,..
Germany,DEU,"Services, etc., value added (% of GDP)",NV.SRV.TETC.ZS,..,68.1571481629921,69.2155404330273,68.7578519639375,69.1648061943407,71.569199156467,69.2638245427492,68.7390654527918,68.4433116522191,68.4308199359205,68.5551674579034,..
Germany,DEU,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,22.8985007270034,30.8730068606577,41.2379717178479,43.0573560521252,43.5175643661895,37.8472804539497,42.2964265474222,44.8069726946019,45.9242881559329,45.5645528709939,45.6308823985206,..
Germany,DEU,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,23.1156895558421,30.6035486160397,35.941720358129,36.4101174848911,37.5437643177145,32.9152182231159,37.1124360497163,39.9739913304435,40.0424015418742,39.7538690433817,39.2076562010338,..
Germany,DEU,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,24.7124152972484,23.8721078779276,19.6883106016233,20.6916429957253,20.8481169029171,18.1397100127816,19.5270590244622,20.6042014004668,19.1784064875086,18.9896706863904,18.9623905309957,..
Germany,DEU,"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,..,29.3716583865626,27.5382813153711,27.1968160757895,27.3355954996443,28.4776892203235,27.631956898091,28.017487310585,28.2184806720244,..,..,..
Germany,DEU,Cash surplus/deficit (% of GDP),GC.BAL.CASH.GD.ZS,..,1.32197776200615,-1.24341059325579,-0.318711132181458,-0.378417682426252,-2.149259563798,-3.07582426966641,-0.433848319810307,0.138186843157933,..,..,..
Germany,DEU,Time required to start a business (days),IC.REG.DURS,..,..,22,18,17.5,17.5,14.5,14.5,14.5,14.5,14.5,10.5
Germany,DEU,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,98.8939014477778,..,127.524223914317,120.629892713865,122.46065316143,128.640267680509,165.043202832056,162.207995257678,157.402014618713,137.702920113331,141.141301540304,..
Germany,DEU,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,..,11.2415424651053,10.6706551752991,11.1150507348284,11.1730948155214,11.4883622479301,11.0553446522424,11.387870030751,11.518237026801,..,..,..
Germany,DEU,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,2.39773943101698,1.44565885971138,1.27039578277968,1.23859113744019,1.28317995949993,1.39095357110874,1.35566838235865,1.2830202660146,1.31524782719372,1.27785212921964,1.20576901222196,..
Germany,DEU,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,0.338698748206531,57.7183339793647,102.282888829324,115.140360843206,126.55750743066,126.228057746668,106.48369587659,109.659567482399,111.594039820304,120.921165091394,120.418982876886,..
Germany,DEU,Internet users (per 100 people),IT.NET.USER.P2,0.125892223365436,30.2163466048889,72.16,75.16,78,79,82,81.26999953602,82.3499984738392,84.17,86.19,..
Germany,DEU,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,11.9963528381739,18.6258136594924,17.1358988126545,13.994891161286,13.3047185085267,15.2587406087745,15.250990451373,14.9635385637821,15.802247562153,16.078192316948,..,..
Germany,DEU,Overall level of statistical capacity (scale 0 - 100),IQ.SCI.OVRL,..,..,..,..,..,..,..,..,..,..,..,..
Germany,DEU,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,44.0113381388714,53.8723657403939,67.1905920336221,69.162282133124,70.2240982620428,59.9590467405329,67.8075590070304,72.7330646409603,72.6903300548923,70.8631670577569,70.818424765332,..
Germany,DEU,Net barter terms of trade index (2000 = 100),TT.PRI.MRCH.XD.WD,..,100,97.0377019749,97.1929824561,95.777027027,100.0886524823,98.3059878781,95.2513017906,94.3550932708,96.3308496061,..,..
Germany,DEU,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,..,..,..,..,..,..,..,..,..,..,..,..
Germany,DEU,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,..,..,..,..,..,..,..,..,..,..,..,..
Germany,DEU,Net migration,SM.POP.NETM,..,..,..,4937,..,..,..,..,549998,..,..,..
Germany,DEU,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,4876062012,3643560547,7481395776.92307,9769269071.63158,10974182809.4608,12334845295.3213,12791868747.9919,16994624791.7025,16433903353.8406,16984000713.0562,17629122985.8056,..
Germany,DEU,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,3003918963.2088,210085430607.737,87440493960.0878,50844402917.2754,30926584570.366,56668692240.7806,86053315651.7636,97481151362.1229,54659879056.009,59014769118.6243,8389631763.32415,..
Germany,DEU,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,..,..,..,..,..,..,..,..,..,..,..,..
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,
Last Updated: 11/12/2015,,,,,,,,,,,,,,,
